,PMCID,PMID,Publisher,Journal,Title,Cost(£),Article_or_Book,TP_notes,PMC_Title,PMC_DOI,PMC_isOpenAccess,PMC_Journal,PMC_Pub_Year,PMC_Pub_Type,PMC_Citation_Count,Notes,PMC_Journal_ISSN
10,PMC3565438,23385454,International Union of Crystallography,Acta Crystallographica Section D: Biological Crystallography,Intensity statistics in the presence of translational non-crystallographic symmetry,773.74,Article,,Intensity statistics in the presence of translational noncrystallographic symmetry.,10.1107/s0907444912045374,Y,Acta Crystallogr D Biol Crystallogr,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, p.h.s.",0,,0907-4449
11,PMC3668577,23722836,International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.,785.6,Article,,Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.,10.1107/s174430911301292x,Y,Acta Crystallogr Sect F Struct Biol Cryst Commun,2013,"journal article, research support, non-u.s. gov't",0,,1744-3091
12,PMC3606566,23519796,International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase,807.67,Article,,Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase.,10.1107/s1744309113002352,Y,Acta Crystallogr Sect F Struct Biol Cryst Commun,2013,"journal article, research support, non-u.s. gov't",0,,1744-3091
13,PMC3498934,23151636,International Union of Crystallography,"Acta Crystallographica, Section D",Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.,757.18,Article,,Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.,10.1107/s0907444912040590,Y,Acta Crystallogr D Biol Crystallogr,2012,"journal article, research support, non-u.s. gov't",0,,0907-4449
14,PMC3447403 ,22993091,International Union of Crystallography,Acta Crystallography D,"Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a",774.19,Article,,"Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a.",10.1107/s0907444912029599,Y,Acta Crystallogr D Biol Crystallogr,2012,"journal article, research support, non-u.s. gov't",0,,0907-4449
15,PMC3087623,21543847,International Union of Crystallography,Acta D,Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.,750.16,Article,,Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.,10.1107/s0907444911007888,Y,Acta Crystallogr D Biol Crystallogr,2011,"journal article, research support, non-u.s. gov't",2,,0907-4449
16,PMC3808818 ,23695107,Society for Publication of Acta Dermato-Venereologica,Acta Dermato Venereologica,"The Importance of a Full Clinical Examination: Assessment of Index
Lesions Referred to a Skin Cancer Clinic Without a Total Body Skin
Examination Would Miss One in Three Melanomas",653.96,Article,,The importance of a full clinical examination: assessment of index lesions referred to a skin cancer clinic without a total body skin examination would miss one in three melanomas.,10.2340/00015555-1625,N,Acta Derm Venereol,2013,"journal article, research support, non-u.s. gov't",0,,0001-5555
17,PMC23828613,,Springer,Acta Diabetologica,A rare SNP in pre-miR-34a is associated with increased levels of miR-34a in pancreatic beta cells,2336.28,Article,,,,,,,,,PMCID not found,
18,PMC3374517,22691792,International Union of Crystallography,ACTA F,Crystallization and preliminary crystallographic analysis of the major capsid proteins VP16 and VP17 of bacteriophage P23-77,754.9,Article,,Crystallization and preliminary crystallographic analysis of the major capsid proteins VP16 and VP17 of bacteriophage P23-77.,10.1107/s1744309112010330,Y,Acta Crystallogr Sect F Struct Biol Cryst Commun,2012,"journal article, research support, non-u.s. gov't",1,,1744-3091
19,PMC3549237,22961620,Springer,Acta Neuropathol,Overexpression of human wild-type FUS causes progressive motor neuron degeneration in an age- and dose-dependent fashion,1901.04,Article,,Overexpression of human wild-type FUS causes progressive motor neuron degeneration in an age- and dose-dependent fashion.,10.1007/s00401-012-1043-z,Y,Acta Neuropathol,2013,"journal article, research support, non-u.s. gov't",17,,0001-6322
20,,,Springer,Acta Neuropathologica,Synucleinopathy associated with G51D SNCA mutation: A link between Parkinson's disease and multiple system atrophy?,1884.01,Article,,,,,,,,,Warning: details matched on article title,
21,PMC3661931,23595275,Springer,Acta Neuropathologica,Insufficient OPC migration into demyelinated lesions is a cause of poor remyelination in MS and mouse models,2250.97,Article,,Insufficient OPC migration into demyelinated lesions is a cause of poor remyelination in MS and mouse models.,10.1007/s00401-013-1112-y,Y,Acta Neuropathol,2013,"journal article, research support, non-u.s. gov't",2,,0001-6322
22,PMC3535376,23143228,Springer,Acta Neuropathologica,Unravelling the enigma o selective vulnerability in neurodegeneration: motor neurons resistant to degeneration in ALS show distinct gene expression characteristics and decreased susceptibility to excitotoxicity,2348.21,Article,,Unravelling the enigma of selective vulnerability in neurodegeneration: motor neurons resistant to degeneration in ALS show distinct gene expression characteristics and decreased susceptibility to excitotoxicity.,10.1007/s00401-012-1058-5,Y,Acta Neuropathol,2013,"journal article, research support, non-u.s. gov't",6,,0001-6322
23,PMC3798121,23452392,Wiley-Blackwell,Acta Opthalmologica,Visual and psychological morbidity among patients with autosomal dominant optic atrophy,2270.16,Article,,Visual and psychological morbidity among patients with autosomal dominant optic atrophy.,10.1111/aos.12077,Y,Acta Ophthalmol,2013,letter,0,,1755-375x
24,PMC3734623 ,21624095,Wiley,Acta Physiol,Integration of transient receptor potential canonical channels with lipids,1991.5,Article,,Integration of transient receptor potential canonical channels with lipids.,10.1111/j.1748-1716.2011.02311.x,Y,Acta Physiol (Oxf),2012,"journal article, review, research support, non-u.s. gov't",7,,1748-1708
25,,,Wiley,Addiction,"Acute alcohol-related dysfunction as a predictor of employment status in a longitudinal study of working age men in Izhevsk, Russia.",1919.51,Article,,,,,,,,,Warning: details matched on article title,
26,PMC3908358,23734913,Wiley,Addiction,"Childhood conduct disorder trajectories, prior risk factors and cannabis use at age 16: birth cohort study",2352.94,Article,,"Childhood conduct disorder trajectories, prior risk factors and cannabis use at age 16: birth cohort study.",10.1111/add.12268,N,Addiction,2013,"journal article, research support, non-u.s. gov't",0,,0965-2140
27,,,Springer,Advances in Experimental Medicine and Biology,Wavelet cross-correlation to investigate regional variations in cerebral oxygenation in infants supported on extracorporeal membrane oxygenation,1928.45,Article,,,,,,,,,Warning: details matched on article title,
28,,,Springer,Advances in Experimental Medicine and Biology,Modelling Cerebrovascular Reactivity: A Novel Near-Infrared Biomarker of Cerebral Autoregulation?,1928.46,Article,,,,,,,,,Warning: details matched on article title,
29,,,Springer,Advances in Experimental Medicine and Biology,Normobaric hyperoxia does not change optical scattering or pathlength but does increase oxidised cytochrome C oxidase concentration in patients with brain injury,1928.46,Article,,,,,,,,,Warning: details matched on article title,
30,,,Springer,Advances in Experimental Medicine and Biology,Oscillations in cerebral haemodynamics in patients with falciparum malaria,1928.46,Article,,,,,,,,,Warning: details matched on article title,
31,PMC3528370,21948184,SPRINGER-VERLAG GMBH,Age,The dominant human conjunctival epithelial CD8αβ+ T cell population is maintained with age but the number of CD4+ T cells increases.,2338.28,Article,,The dominant human conjunctival epithelial CD8αβ+ T cell population is maintained with age but the number of CD4+ T cells increases.,10.1007/s11357-011-9316-3,Y,Age (Dordr),2012,"journal article, research support, non-u.s. gov't",2,,0161-9152
32,PMC3825002,23340916,Springer-Verlag GMBH & Ci,AGE,Voluntary exercise can strengthen the circadian system in aged mice,2002.0,Article,,Voluntary exercise can strengthen the circadian system in aged mice.,10.1007/s11357-012-9502-y,Y,Age (Dordr),2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",1,,0161-9152
33,PMC3684112 ,23672932,Oxford University Press,Age and Ageing,Early diagnosis and treatment of HIV infection: magnitude of benefit is greatest in older adults,2040.0,Article,,Early diagnosis and treatment of HIV infection: magnitude of benefit on short-term mortality is greatest in older adults.,10.1093/ageing/aft052,Y,Age Ageing,2013,"journal article, research support, non-u.s. gov't, comparative study",2,,0002-0729
34,,,Cambridge University Press,Ageing & Society,Who cares? Implications of care-giving and -receiving by HIV-infected or -affected older,1695.0,Article,,,,,,,,,Warning: details matched on article title,
35,,,Wiley,Aging Cell,"TORC1 signaling inhibition by rapamycin and caffeine affect lifespan, global gene expression and cell proliferation of fission yeast",1970.57,Article,,,,,,,,,Warning: details matched on article title,
36,PMC3713766,23525033,Wolters Kluwer,AIDS,HIV infected adolescents in Southern Africa can achieve good treatment outcomes: Results from a large retrospective cohort study.,1968.63,Article,,HIV-infected adolescents in southern Africa can achieve good treatment outcomes: results from a retrospective cohort study.,10.1097/qad.0b013e32836149ea,Y,AIDS,2013,"journal article, research support, non-u.s. gov't",1,,0269-9370
37,PMC3748854,23842136,Wolters Kluwer Health ,AIDS,Evaluation of an empiric risk screening score to identify acute and early HIV-1 infection among MSM in Coastal Kenya.,1834.77,Article,,Evaluation of an empiric risk screening score to identify acute and early HIV-1 infection among MSM in Coastal Kenya.,10.1097/qad.0b013e3283629095,Y,AIDS,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, non-p.h.s.",0,,0269-9370
38,PMC3647051,23667472,Wolters Kluwer N.V./Lippinott,AIDS,Grassroots Community Organisations' Contribution to the Scale-Up of HIV Testing and Counselling Services in Zimbabwe,2374.52,Article,,"Historical zoonoses and other changes in host tropism of Staphylococcus aureus, identified by phylogenetic analysis of a population dataset.",10.1371/journal.pone.0062369,Y,PLoS One,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",2,,1932-6203
39,PMC3633780,23494223,Springer ,AIDS Behav,"Adherence to antiretroviral therapy and clinical outcomes among young adults reporting high-risk sexual behavior, including men who have sex with men, in coastal Kenya.",1834.77,Article,,"Adherence to antiretroviral therapy and clinical outcomes among young adults reporting high-risk sexual behavior, including men who have sex with men, in coastal Kenya.",10.1007/s10461-013-0445-9,Y,AIDS Behav,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, non-p.h.s., research support, n.i.h., extramural",4,,1090-7165
40,,,Taylor & Francis,AIDS Care,"Burden of HIV among primary school children and feasibility of primary school-linked HIV testing in Harare, Zimbabwe.",2145.6,Article,,,,,,,,,Warning: details matched on article title,
41,PMC3590645,22624868,Taylor & Francis,Aids Care,Asset ownership among households caring for orphans and vulnerable children in rural Zimbabwe: The influence of ownership on children's health and social vulnerabilities,2399.28,Article,,Asset ownership among households caring for orphans and vulnerable children in rural Zimbabwe: the influence of ownership on children's health and social vulnerabilities.,10.1080/09540121.2012.687812,Y,AIDS Care,2013,journal article,0,,0954-0121
42,PMC3613944,22519913,Taylor & Francis,Aids Care,"Barriers to involvement of men in ANC and VCT in Khayelitsha, South Africa.",2399.28,Article,,"Barriers to involvement of men in ANC and VCT in Khayelitsha, South Africa.",10.1080/09540121.2012.668166,Y,AIDS Care,2012,"journal article, multicenter study",0,,0954-0121
43,PMC3687248,23745635,Taylor and Francis,AIDS Care,WORLDBANK Special Issue: Evidence for a contribution of the Community Response to HIV decline in eastern Zimbabwe?,2232.74,Article,,Evidence for a contribution of the community response to HIV decline in eastern Zimbabwe?,10.1080/09540121.2012.748171,Y,AIDS Care,2013,journal article,1,,0954-0121
44,PMC3819359,23846570,Wolters Kluwer,AIDS Journal,Short title: TB and VL breakthrough and failure. Orig title: Temporal association between incident tuberculosis and poor virological outcomes in a South African antiretroviral treatment service.,2015.72,Article,,Temporal association between incident tuberculosis and poor virological outcomes in a South African antiretroviral treatment service.,10.1097/qai.0b013e3182a23e9a,Y,J Acquir Immune Defic Syndr,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, non-p.h.s., research support, n.i.h., extramural",0,,1525-4135
45,PMC3765690 ,23870285,BioMed Central Limited,AIDS Research and Therapy,Collective Patient behaviours derailing ART rool-out in KwaZulu-Natal: Perspectives of Health Care Providers,1240.0,Article,,Collective patient behaviours derailing ART roll-out in KwaZulu-Natal: perspectives of health care providers.,10.1186/1742-6405-10-20,Y,AIDS Res Ther,2013,journal article,0,,1742-6405
46,PMC3773237 ,23842132,Wolters Kluwer,AIDS UK,Sexual behaviour in a rural high HIV prevalence ,1836.92,Article,,Sexual behaviour in a rural high HIV prevalence South African community: time trends in the antiretroviral treatment era.,10.1097/01.aids.0000432473.69250.19,Y,AIDS,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",1,,0269-9370
47,PMC3815011 ,23842131,Wolters Kluwer,AIDS UK,HIV incidence and survival from age-specific seroprevalence after antiretroviral treatment scale up in rural South Africa,1836.92,Article,,Modelling HIV incidence and survival from age-specific seroprevalence after antiretroviral treatment scale-up in rural South Africa.,10.1097/01.aids.0000432475.14992.da,Y,AIDS,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",0,,0269-9370
48,PMC3633361,23408241,OUP,Alcohol and Alcoholism,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems,2040.0,Article,,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems.,10.1093/alcalc/agt006,Y,Alcohol Alcohol,2013,"clinical trial, journal article, multicenter study, research support, non-u.s. gov't",2,,0735-0414
49,PMC3761188,23293917,Wiley,Alimentrary Pharmacology & Therapeutics,Meta-analysis: the diagnostic accuracy of critical flicker frequency in minimal hepatic encephalopathy,2373.59,Article,,Meta-analysis: The diagnostic accuracy of critical flicker frequency in minimal hepatic encephalopathy.,10.1111/apt.12199,Y,Aliment Pharmacol Ther,2013,"journal article, meta-analysis, research support, non-u.s. gov't",3,,0269-2813
50,PMC3761189,23577724,Wiley,Alimentrary Pharmacology & Therapeutics,"Predicting the development of acute kidney injury in liver cirrhosis--an analysis of glomerular filtration rate, proteinuria and kidney injury biomarkers.",2373.59,Article,,"Predicting the development of acute kidney injury in liver cirrhosis--an analysis of glomerular filtration rate, proteinuria and kidney injury biomarkers.",10.1111/apt.12299,Y,Aliment Pharmacol Ther,2013,"journal article, research support, non-u.s. gov't",1,,0269-2813
51,PMC23514390,,Taylor & Francis Journals ,Am J Bioeth,"The ""difficult patient"" conundrum in sickle cell disease in Kenya: complex sociopolitical problems need wide multidimensional solutions.",1804.19,Article,,,,,,,,,PMCID not found,
52,PMC3516067,23091194,The Sheridan Press ,Am J Trop Med Hyg,Use of Rapid Diagnostic Tests in Malaria School Surveys in Kenya: Does their Under-performance Matter for Planning Malaria Control?,1152.5,Article,,Use of rapid diagnostic tests in malaria school surveys in Kenya: does their under-performance matter for planning malaria control?,10.4269/ajtmh.2012.12-0215,N,Am J Trop Med Hyg,2012,"journal article, research support, non-u.s. gov't",2,,0002-9637
53,PMC3935265,23599091,American Psychiatric Publishing,Americal Journal of Psychiatry,High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression,2350.02,Article,,High loading of polygenic risk for ADHD in children with comorbid aggression.,10.1176/appi.ajp.2013.12081129,Y,Am J Psychiatry,2013,"journal article, research support, non-u.s. gov't",2,,0002-953x
54,PMC3466778,22971149,American Chemical Society,American Chemical Society,Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA,1533.29,Article,,Characterizing the fatty acid binding site in the cavity of potassium channel KcsA.,10.1021/bi3009196,Y,Biochemistry,2012,"journal article, research support, non-u.s. gov't",2,,0006-2960
55,,,Wiley,American Ethnologist,This is our little Hajj? Muslim Holy sites and reappropriation of the sacred,1870.32,Article,,,,,,,,,Warning: details matched on article title,
56,,,Wiley ,American Ethnologist,Public secrets in public health: knowing not to know while making scientific . ..,1870.67,Article,,,,,,,,,Warning: details matched on article title,
57,PMC3639724,23548755,OUP,American Jnl Epidemiology,Using a nonparametric multilevel latent Markov model to evaluate diagnostics for trachoma.,2040.0,Article,,Using a Nonparametric Multilevel Latent Markov Model to Evaluate Diagnostics for Trachoma.,10.1093/aje/kws345,Y,Am J Epidemiol,2013,journal article,0,,0002-9262
58,"PMC3545681
",23283497,Dartmouth Journal Services,American Journal for Clinical Nutrition,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.,1891.19,Article,,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.,10.3945/ajcn.112.037325,Y,Am J Clin Nutr,2013,"journal article, research support, non-u.s. gov't",1,,0002-9165
59,PMC3590646,23486311,Taylor and Francis,American Journal of Bioethics--Neuroscience,Just How Cognitive is 'Cognitive Enhancement'? On the Significance of Emotions in University Students' Experiences with Study Drugs,2465.77,Article,,"Just How Cognitive Is ""Cognitive Enhancement""? On the Significance of Emotions in University Students' Experiences with Study Drugs.",10.1080/21507740.2012.740141,Y,AJOB Neurosci,2013,journal article,3,,2150-7740
60,PMC3652920 ,23576045,Dartmouth Journal Services,American Journal of Clinical Nutrition,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women,1953.76,Article,,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women.,10.3945/ajcn.112.048462,N,Am J Clin Nutr,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, non-p.h.s., research support, n.i.h., extramural",4,,0002-9165
61,PMC3132275,21622949,OUP,American Journal of Epidemiology,Association between urban life-years and cardiometabolic risk: the Indian migration study,2040.0,Article,,Association between urban life-years and cardiometabolic risk: the Indian migration study.,10.1093/aje/kwr053,Y,Am J Epidemiol,2011,"journal article, research support, non-u.s. gov't",8,,0002-9262
62,PMC3813311,24008900,OUP,American Journal of Epidemiology,Prenatal exposures and anti-Müllerian hormone in female adolescents: the Avon Longitudinal Study of Parents and Children,2040.0,Article,,Prenatal exposures and anti-Mullerian hormone in female adolescents: the Avon Longitudinal Study of Parents and Children.,10.1093/aje/kwt137,Y,Am J Epidemiol,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",1,,0002-9262
63,PMC3783091,23863760,Oxford University Press,American Journal of Epidemiology,Efficient design for Mendelian randomization studies: subsample and two-sample instrumental variable estimators,1700.0,Article,,Efficient design for Mendelian randomization studies: subsample and 2-sample instrumental variable estimators.,10.1093/aje/kwt084,Y,Am J Epidemiol,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, non-p.h.s., research support, n.i.h., extramural",0,,0002-9262
64,PMC3837358 ,23907068,Elsevier,American Journal of Geriatric Psychiatry,The epidemiology of delirium: challenges and opportunities for population studies,2404.53,Article,,The epidemiology of delirium: challenges and opportunities for population studies.,10.1016/j.jagp.2013.04.007,Y,Am J Geriatr Psychiatry,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",0,,1064-7481
65,PMC3738821,23849775,Cell Press,American Journal of Human Genetics,ELAC2 mutations cause a mitochondrial RNA processing defect associated with hypertrophic cardiomyopathy,2418.34,Article,,ELAC2 mutations cause a mitochondrial RNA processing defect associated with hypertrophic cardiomyopathy.,10.1016/j.ajhg.2013.06.006,N,Am J Hum Genet,2013,"journal article, research support, non-u.s. gov't",1,,0002-9297
66,PMC3516598,23200863,Elsevier,American Journal of Human Genetics,Mutations in ANO3 cause dominant cranio-cervical dystonia: ion channel implicated in pathogenesis,2296.94,Article,,Mutations in ANO3 cause dominant craniocervical dystonia: ion channel implicated in pathogenesis.,10.1016/j.ajhg.2012.10.024,N,Am J Hum Genet,2012,"journal article, research support, non-u.s. gov't",27,,0002-9297
67,PMC3769921,23993193,Elsevier,American Journal of Human Genetics,Mutations in FBXL4 cause mitochondrial encephalopathy and a disorder of mitochondrial DNA maintenance,2334.41,Article,,Mutations in FBXL4 cause mitochondrial encephalopathy and a disorder of mitochondrial DNA maintenance.,10.1016/j.ajhg.2013.07.017,N,Am J Hum Genet,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",0,,0002-9297
68,PMC3591859,23453664,Elsevier,American Journal of Human Genetics,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita,2434.04,Article,,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita.,10.1016/j.ajhg.2013.02.001,N,Am J Hum Genet,2013,"journal article, research support, non-u.s. gov't",14,,0002-9297
69,PMC3567269,23313374,Elsevier,American Journal of Human Genetics,LRIG2 Mutations Cause Urofacial Syndrome,3938.82,Article,,LRIG2 mutations cause urofacial syndrome.,10.1016/j.ajhg.2012.12.002,N,Am J Hum Genet,2013,"journal article, research support, non-u.s. gov't",4,,0002-9297
70,PMC3470702,22887808,John Wiley,American Journal of Medical Genetics,A Novel Nonsense CDK5RAP2 Mutation in a Somali Child with Primary Microcephaly,2307.01,Article,,A novel nonsense CDK5RAP2 mutation in a Somali child with primary microcephaly and sensorineural hearing loss.,10.1002/ajmg.a.35558,Y,Am J Med Genet A,2012,"journal article, case reports, research support, non-u.s. gov't",5,,1552-4825
71,,,Wiley,American Journal of Medical Genetics Part A,"A Distinct Mitochondrial Myopathy, Lactic Acidosis and Sideroblastic Anaemia (MLASA) Phenotype Associates with YARS2 Mutations",1500.0,Article,,,,,,,,,Warning: details matched on article title,
72,PMC3947303,,American Society for Investigative Pathology,American Journal of Pathology,Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling,995.31,Article,,,,,,,,,PMCID not found,
73,PMC3830178 ,22898127,Elsevier,American Journal of Preventive Medicine,Physical activity and transitioning to retirement: a systematic review,2377.65,Article,,Physical activity and transitioning to retirement: a systematic review.,10.1016/j.amepre.2012.05.026,Y,Am J Prev Med,2012,"journal article, review, research support, non-u.s. gov't",4,,0749-3797
74,PMC3834139 ,23159264,Elsevier,American Journal of Preventive Medicine,Financial incentives to promote active travel: an evidence review and economic framework,2377.65,Article,,Financial incentives to promote active travel: an evidence review and economic framework.,10.1016/j.amepre.2012.09.001,Y,Am J Prev Med,2012,"journal article, review, research support, non-u.s. gov't",3,,0749-3797
75,PMC3708126,22099364,Elsevier ,American Journal of Preventive Medicine ,Sickle Cell Disease in Africa; a neglected cause of early childhood mortality ,1834.77,Article,,Sickle cell disease in Africa: a neglected cause of early childhood mortality.,10.1016/j.amepre.2011.09.013,Y,Am J Prev Med,2011,"journal article, research support, non-u.s. gov't",7,,0749-3797
76,,,American Psychiatric Association,American Journal of Psychiatry,Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms,2351.73,Article,,,,,,,,,Warning: details matched on article title,
77,PMC3673232,,American Public Health Association,American Journal of Public Health,Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area,1422.25,Article,,,,,,,,,PMCID not found,
78,PMC23331923,,Wiley-Blackwell,American Journal of Transplantation,TNFa from classically activated macrophages accentuates epithelial to mesenchymal transitions in obliterative bronchiolitis,1884.3,Article,,,,,,,,,PMCID not found,
79,PMC3746108,23750746,Wiley-Blackwell,American Journal of Transplantation,Biliary epithelial senescence and plasticity in acute cellular rejection,2373.84,Article,,Biliary epithelial senescence and plasticity in acute cellular rejection.,10.1111/ajt.12271,Y,Am J Transplant,2013,"journal article, research support, non-u.s. gov't, comparative study",0,,1600-6135
80,PMC3440570,22500984,"Wiley-Blackwell, John Wiley & Sons",American Journal of Transplantation,Low dose rapamycin treatment increases the ability of human regulatory T cells to inhibit transplant arteriosclerosis in vivo,1900.7,Article,,Low-dose rapamycin treatment increases the ability of human regulatory T cells to inhibit transplant arteriosclerosis in vivo.,10.1111/j.1600-6143.2012.04065.x,Y,Am J Transplant,2012,"journal article, research support, non-u.s. gov't",11,,1600-6135
